Date,Open,High,Low,AdjClose,Volume
1/2/2015,40.0668,40.7192,39.962,40.1536,32501460.56
1/5/2015,39.8167,40.1262,39.714,39.7826,46200404.19
1/6/2015,39.8255,40.1447,39.1076,39.1972,42442433.93
1/7/2015,39.4827,39.8957,39.0627,39.6975,33904918.54
1/8/2015,40.1447,41.0026,40.1176,40.8676,34521596.92
1/9/2015,40.8833,41.0629,40.2708,40.5217,27884480.33
1/12/2015,40.7192,40.8247,39.8069,40.0159,27543155.77
1/13/2015,40.3334,41.1382,39.5519,39.7969,41068072.85
1/14/2015,39.464,39.7073,39.1741,39.464,34606652.66
1/15/2015,39.6896,39.8255,38.9914,39.0537,38135292.79
1/16/2015,38.9081,39.7415,38.7902,39.7073,41568442.43
1/20/2015,39.757,40.059,39.1329,39.8352,32802237.83
1/21/2015,39.4465,39.6213,39.0537,39.431,44484193.33
1/22/2015,39.9192,40.4749,39.5696,40.4709,36168297.7
1/23/2015,40.6675,40.6917,40.1878,40.513,26996608.93
1/26/2015,40.3606,40.4709,39.7073,40.3686,49281821.14
1/27/2015,36.8816,37.0944,36.1508,36.6306,196988551.1
1/28/2015,36.7018,36.7458,35.3432,35.3687,102573840.3
1/29/2015,35.145,36.1675,35.0248,36.0729,74042617.21
1/30/2015,35.6782,35.7026,34.6487,34.6947,90833533.35
2/2/2015,34.8539,35.5258,34.5445,35.4467,58632139.53
2/3/2015,35.7465,36.0054,35.2419,35.7213,60649948.76
2/4/2015,36.0142,36.2457,35.5173,35.9273,48460824.51
2/5/2015,36.2536,36.6138,35.937,36.4508,42560489.37
2/6/2015,36.648,36.7458,36.193,36.4177,40312630.27
2/9/2015,36.272,36.7018,36.2457,36.3747,36541479.38
2/10/2015,36.7018,36.7282,36.2192,36.5788,34550879.14
2/11/2015,36.6218,36.6218,36.2457,36.3913,44556454.41
2/12/2015,36.6577,37.0016,36.5006,37.0016,38740678.45
2/13/2015,37.2477,37.6698,37.0525,37.6698,46729053.66
2/17/2015,38.0271,38.0547,37.3532,37.6855,38961550.82
2/18/2015,37.7314,37.7937,37.5252,37.6433,31349028.43
2/19/2015,37.4196,37.6433,37.2275,37.621,31914598.83
2/20/2015,37.621,37.9471,37.4354,37.9228,34365074.6
2/23/2015,37.7937,38.2138,37.7488,38.1778,37602217.34
2/24/2015,38.1778,38.3106,37.9822,38.1279,29221130.09
2/25/2015,38.0108,38.1279,37.8777,38.0458,34410291.52
2/26/2015,38.0458,38.2498,37.9561,38.1015,33483582.6
2/27/2015,38.169,38.2226,37.7576,37.9228,39088204.28
3/2/2015,37.7666,38.2138,37.662,37.9471,36914768.56
3/3/2015,37.6698,37.9051,37.2645,37.4286,36711945.09
3/4/2015,37.1949,37.366,37.0828,37.2362,29773948.85
3/5/2015,37.2447,37.3943,37.032,37.283,26819402.41
3/6/2015,37.1873,37.283,36.4508,36.6316,41915559.75
3/9/2015,36.485,37.2996,36.485,37.0573,37127417.62
3/10/2015,36.6228,36.9363,36.3473,36.3473,45281642.15
3/11/2015,36.5983,36.6414,36.1823,36.3082,37251604.71
3/12/2015,35.7417,36.018,35.2679,35.6292,69407379.24
3/13/2015,35.1986,35.8658,35.1195,35.7848,67076199.78
3/16/2015,35.8658,36.0104,35.6968,35.9419,40787786.28
3/17/2015,35.7758,36.1743,35.5853,36.0542,36624989.15
3/18/2015,35.8287,37.0398,35.7417,36.7574,51103779.09
3/19/2015,36.5387,36.8298,36.5104,36.5622,39175397.74
3/20/2015,36.8043,37.1698,36.7478,37.0828,83145521.79
3/23/2015,37.0992,37.2996,36.9958,37.0573,30349107.31
3/24/2015,36.9958,37.3369,36.9694,37.0992,29501750.43
3/25/2015,37.117,37.117,35.8374,35.8559,50265671.38
3/26/2015,35.647,35.9838,35.387,35.6391,43357393.51
3/27/2015,35.5601,35.8287,35.3089,35.4301,39779465.75
3/30/2015,35.5443,35.9244,35.3785,35.4223,40528998.86
3/31/2015,35.2679,35.4839,35.0581,35.1575,40341231.65
4/1/2015,35.1363,35.2512,34.8607,35.2161,42628551.77
4/2/2015,35.1623,35.235,34.6975,34.8421,43347909.88
4/6/2015,34.886,36.1303,34.7473,35.9244,45355531.1
4/7/2015,35.9419,36.2438,35.7251,35.9166,33312956.16
4/8/2015,35.8559,36.0542,35.4916,35.8208,28623166.09
4/9/2015,35.6734,35.9928,35.6734,35.8745,29744442.41
4/10/2015,35.8745,36.28,35.8111,36.0777,32402756.31
4/13/2015,35.8912,36.3737,35.7945,36.1129,35009819.92
4/14/2015,36.1481,36.3473,35.7945,36.018,28034478.89
4/15/2015,36.1129,36.7204,36.0455,36.5475,31588467.73
